Jurisdiction,Year,Industry,Unit,Quantity
AUS,2000,Agriculture,PJ,85.5
AUS,2000,Commercial and services,PJ,214.5
AUS,2000,Construction,PJ,28.2
AUS,2000,Electricity generation,PJ,1507.9
AUS,2000,Manufacturing,PJ,1188.3
AUS,2000,Mining,PJ,253.9
AUS,2000,Other,PJ,77.6
AUS,2000,Residential,PJ,398.0
AUS,2000,Transport,PJ,1249.1
AUS,2000,Water and waste,PJ,8.8
AUS,2001,Agriculture,PJ,86.2
AUS,2001,Commercial and services,PJ,221.9
AUS,2001,Construction,PJ,28.4
AUS,2001,Electricity generation,PJ,1542.9
AUS,2001,Manufacturing,PJ,1207.4
AUS,2001,Mining,PJ,268.8
AUS,2001,Other,PJ,82.5
AUS,2001,Residential,PJ,389.0
AUS,2001,Transport,PJ,1261.1
AUS,2001,Water and waste,PJ,9.0
AUS,2002,Agriculture,PJ,97.744
AUS,2002,Commercial and services,PJ,250.722
AUS,2002,Construction,PJ,27.706
AUS,2002,Electricity generation,PJ,1566.704
AUS,2002,Manufacturing,PJ,1174.991
AUS,2002,Mining,PJ,258.324
AUS,2002,Other,PJ,75.224
AUS,2002,Residential,PJ,411.604
AUS,2002,Transport,PJ,1265.905
AUS,2002,Water and waste,PJ,9.751
AUS,2003,Agriculture,PJ,97.635
AUS,2003,Commercial and services,PJ,255.899
AUS,2003,Construction,PJ,27.388
AUS,2003,Electricity generation,PJ,1664.844
AUS,2003,Manufacturing,PJ,1136.581
AUS,2003,Mining,PJ,268.454
AUS,2003,Other,PJ,80.682
AUS,2003,Residential,PJ,415.031
AUS,2003,Transport,PJ,1327.831
AUS,2003,Water and waste,PJ,10.381
AUS,2004,Agriculture,PJ,101.452
AUS,2004,Commercial and services,PJ,256.422
AUS,2004,Construction,PJ,27.838
AUS,2004,Electricity generation,PJ,1706.422
AUS,2004,Manufacturing,PJ,1163.688
AUS,2004,Mining,PJ,290.229
AUS,2004,Other,PJ,73.819
AUS,2004,Residential,PJ,410.877
AUS,2004,Transport,PJ,1358.051
AUS,2004,Water and waste,PJ,10.402
AUS,2005,Agriculture,PJ,96.902
AUS,2005,Commercial and services,PJ,259.377
AUS,2005,Construction,PJ,26.334
AUS,2005,Electricity generation,PJ,1730.651
AUS,2005,Manufacturing,PJ,1231.36
AUS,2005,Mining,PJ,307.87
AUS,2005,Other,PJ,77.061
AUS,2005,Residential,PJ,417.966
AUS,2005,Transport,PJ,1388.188
AUS,2005,Water and waste,PJ,11.034
AUS,2006,Agriculture,PJ,94.153
AUS,2006,Commercial and services,PJ,272.618
AUS,2006,Construction,PJ,26.346
AUS,2006,Electricity generation,PJ,1807.799
AUS,2006,Manufacturing,PJ,1258.667
AUS,2006,Mining,PJ,327.328
AUS,2006,Other,PJ,73.203
AUS,2006,Residential,PJ,426.662
AUS,2006,Transport,PJ,1425.686
AUS,2006,Water and waste,PJ,11.528
AUS,2007,Agriculture,PJ,94.972
AUS,2007,Commercial and services,PJ,274.47
AUS,2007,Construction,PJ,26.353
AUS,2007,Electricity generation,PJ,1823.947
AUS,2007,Manufacturing,PJ,1207.474
AUS,2007,Mining,PJ,334.777
AUS,2007,Other,PJ,73.719
AUS,2007,Residential,PJ,431.174
AUS,2007,Transport,PJ,1458.023
AUS,2007,Water and waste,PJ,13.422
AUS,2008,Agriculture,PJ,93.857
AUS,2008,Commercial and services,PJ,278.677
AUS,2008,Construction,PJ,32.524
AUS,2008,Electricity generation,PJ,1913.916
AUS,2008,Manufacturing,PJ,1171.426
AUS,2008,Mining,PJ,369.43
AUS,2008,Other,PJ,73.238
AUS,2008,Residential,PJ,437.417
AUS,2008,Transport,PJ,1460.139
AUS,2008,Water and waste,PJ,13.609
AUS,2009,Agriculture,PJ,96.107
AUS,2009,Commercial and services,PJ,284.444
AUS,2009,Construction,PJ,32.612
AUS,2009,Electricity generation,PJ,1755.198
AUS,2009,Manufacturing,PJ,1259.843
AUS,2009,Mining,PJ,372.312
AUS,2009,Other,PJ,75.312
AUS,2009,Residential,PJ,444.253
AUS,2009,Transport,PJ,1490.826
AUS,2009,Water and waste,PJ,12.897
AUS,2010,Agriculture,PJ,96.178
AUS,2010,Commercial and services,PJ,291.261
AUS,2010,Construction,PJ,32.518
AUS,2010,Electricity generation,PJ,1682.641
AUS,2010,Manufacturing,PJ,1330.597
AUS,2010,Mining,PJ,407.472
AUS,2010,Other,PJ,70.623
AUS,2010,Residential,PJ,454.096
AUS,2010,Transport,PJ,1524.388
AUS,2010,Water and waste,PJ,13.114
AUS,2011,Agriculture,PJ,98.189
AUS,2011,Commercial and services,PJ,286.671
AUS,2011,Construction,PJ,31.527
AUS,2011,Electricity generation,PJ,1726.34
AUS,2011,Manufacturing,PJ,1214.905
AUS,2011,Mining,PJ,448.09
