Jurisdiction,Year,Fuel,Unit,Quantity,percentage
AUS,2000,Total non-renewable,GWh,205802.0,92.0
AUS,2000,Total renewable,GWh,17838.0,8.0
AUS,2001,Total non-renewable,GWh,207443.7,92.0
AUS,2001,Total renewable,GWh,17426.3,8.0
AUS,2002,Total non-renewable,GWh,203285.4,92.0
AUS,2002,Total renewable,GWh,18835.0,8.0
AUS,2003,Total non-renewable,GWh,210880.2,92.0
AUS,2003,Total renewable,GWh,18904.2,8.0
AUS,2004,Total non-renewable,GWh,208244.2,91.0
AUS,2004,Total renewable,GWh,20405.5,9.0
AUS,2005,Total non-renewable,GWh,211085.3,91.0
AUS,2005,Total renewable,GWh,21744.1,9.0
AUS,2006,Total non-renewable,GWh,221966.2,91.0
AUS,2006,Total renewable,GWh,21186.3,9.0
AUS,2007,Total non-renewable,GWh,223347.8,92.0
AUS,2007,Total renewable,GWh,19869.3,8.0
AUS,2008,Total non-renewable,GWh,225300.2,92.0
AUS,2008,Total renewable,GWh,18644.497,8.0
AUS,2009,Total non-renewable,GWh,227487.4,91.0
AUS,2009,Total renewable,GWh,21803.109,9.0
AUS,2010,Total non-renewable,GWh,224337.4,89.0
AUS,2010,Total renewable,GWh,26524.291,11.0
AUS,2011,Total non-renewable,GWh,222996.0,89.0
AUS,2011,Total renewable,GWh,26655.975,11.0
AUS,2012,Total non-renewable,GWh,214563.9,87.0
AUS,2012,Total renewable,GWh,33199.4,13.0
AUS,2013,Total non-renewable,GWh,212447.895,85.0
AUS,2013,Total renewable,GWh,36588.684,15.0
AUS,2014,Total non-renewable,GWh,218355.162,87.0
AUS,2014,Total renewable,GWh,34035.653,13.0
AUS,2015,Total non-renewable,GWh,219282.534,85.0
AUS,2015,Total renewable,GWh,38146.048,15.0
AUS,2016,Total non-renewable,GWh,217562.391,84.0
AUS,2016,Total renewable,GWh,40454.576,16.0
AUS,2017,Total non-renewable,GWh,216413.262,83.0
AUS,2017,Total renewable,GWh,44642.84,17.0
AUS,2018,Total non-renewable,GWh,212003.104,80.0
AUS,2018,Total renewable,GWh,52023.636,20.0
AUS,2019,Total non-renewable,GWh,205247.85,77.0
AUS,2019,Total renewable,GWh,59930.342,23.0
AUS,2020,Total non-renewable,GWh,194756.259,73.0
AUS,2020,Total renewable,GWh,70798.19,27.0
AUS,2021,Total non-renewable,GWh,187536.015,69.0
AUS,2021,Total renewable,GWh,83995.568,31.0
AUS,2022,Total non-renewable,GWh,181362.618,66.0
AUS,2022,Total renewable,GWh,93112.223,34.0
NSW,2008,Total non-renewable,GWh,70120.1,97.0
NSW,2008,Total renewable,GWh,2249.277,3.0
NSW,2009,Total non-renewable,GWh,69085.5,95.0
NSW,2009,Total renewable,GWh,3922.326,5.0
NSW,2010,Total non-renewable,GWh,65536.3,94.0
NSW,2010,Total renewable,GWh,4144.569,6.0
NSW,2011,Total non-renewable,GWh,64707.9,93.0
NSW,2011,Total renewable,GWh,4624.525,7.0
NSW,2012,Total non-renewable,GWh,62158.2,91.0
NSW,2012,Total renewable,GWh,5827.089,9.0
NSW,2013,Total non-renewable,GWh,61518.495,92.0
NSW,2013,Total renewable,GWh,5478.144,8.0
NSW,2014,Total non-renewable,GWh,57374.89,91.0
NSW,2014,Total renewable,GWh,5441.551,9.0
NSW,2015,Total non-renewable,GWh,60252.593,88.0
NSW,2015,Total renewable,GWh,7976.784,12.0
NSW,2016,Total non-renewable,GWh,59619.497,87.0
NSW,2016,Total renewable,GWh,8539.75,13.0
NSW,2017,Total non-renewable,GWh,60392.35,87.0
NSW,2017,Total renewable,GWh,9332.271,13.0
NSW,2018,Total non-renewable,GWh,60417.819,84.0
NSW,2018,Total renewable,GWh,11142.976,16.0
NSW,2019,Total non-renewable,GWh,56774.898,81.0
NSW,2019,Total renewable,GWh,13289.838,19.0
NSW,2020,Total non-renewable,GWh,53034.595,76.0
NSW,2020,Total renewable,GWh,17128.232,24.0
NSW,2021,Total non-renewable,GWh,50627.581,70.0
NSW,2021,Total renewable,GWh,21471.577,30.0
NSW,2022,Total non-renewable,GWh,48489.888,66.0
NSW,2022,Total renewable,GWh,24579.818,34.0
NT,2008,Total non-renewable,GWh,2912.7,100.0
NT,2008,Total renewable,GWh,9.7,0.0
NT,2009,Total non-renewable,GWh,3253.1,100.0
NT,2009,Total renewable,GWh,13.5,0.0
NT,2010,Total non-renewable,GWh,3076.6,100.0
NT,2010,Total renewable,GWh,14.3,0.0
NT,2011,Total non-renewable,GWh,3130.2,99.0
NT,2011,Total renewable,GWh,17.4,1.0
NT,2012,Total non-renewable,GWh,3291.0,99.0
NT,2012,Total renewable,GWh,23.4,1.0
NT,2013,Total non-renewable,GWh,3432.5,99.0
NT,2013,Total renewable,GWh,33.315,1.0
NT,2014,Total non-renewable,GWh,2952.7,99.0
NT,2014,Total renewable,GWh,44.304,1.0
NT,2015,Total non-renewable,GWh,3007.344,98.0
NT,2015,Total renewable,GWh,58.651,2.0
NT,2016,Total non-renewable,GWh,2903.895,97.0
NT,2016,Total renewable,GWh,87.331,3.0
NT,2017,Total non-renewable,GWh,3384.935,96.0
NT,2017,Total renewable,GWh,124.884,4.0
NT,2018,Total non-renewable,GWh,4298.205,96.0
NT,2018,Total renewable,GWh,159.319,4.0
NT,2019,Total non-renewable,GWh,4789.404,96.0
NT,2019,Total renewable,GWh,210.183,4.0
NT,2020,Total non-renewable,GWh,4645.465,95.0
NT,2020,Total renewable,GWh,256.144,5.0
NT,2021,Total non-renewable,GWh,5023.411,95.0
NT,2021,Total renewable,GWh,282.994,5.0
NT,2022,Total non-renewable,GWh,4687.446,94.0
NT,2022,Total renewable,GWh,319.194,6.0
